"","states","Freq"
"1","Arkansas",2
"2","California",4
"3","Colorado",7
"4","Connecticut",8
"5","Delaware",7
"6","Florida",12
"7","Georgia",18
"8","Illinois",21
"9","Indiana",12
"10","Iowa",14
"11","Kansas",49
"12","Kentucky",3
"13","Louisiana",1
"14","Maine",1
"15","Maryland",13
"16","Massachusetts",12
"17","Michigan",21
"18","Minnesota",10
"19","Mississippi",1
"20","Missouri",9
"21","Nebraska",2
"22","New Hampshire",1
"23","New Jersey",16
"24","New Mexico",2
"25","New York",29
"26","North Carolina",7
"27","Ohio",30
"28","Oklahoma",3
"29","Oregon",1
"30","Pennsylvania",10
"31","Rhode Island",3
"32","South Carolina",3
"33","South Dakota",1
"34","Tennessee",4
"35","Texas",8
"36","Utah",4
"37","Virginia",8
"38","Washington",1
"39","Wisconsin",9
"40","Wyoming",1
