,states,Freq
1,Alabama,50
2,Alaska,5
3,Arizona,1
4,Arkansas,61
5,California,74
6,Colorado,67
7,Connecticut,49
8,Delaware,19
9,Florida,172
10,Georgia,145
11,Idaho,6
12,Illinois,182
13,Indiana,69
14,Iowa,30
15,Kansas,335
16,Kentucky,81
17,Louisiana,22
18,Maine,21
19,Maryland,79
20,Massachusetts,117
21,Michigan,69
22,Minnesota,49
23,Mississippi,20
24,Missouri,72
25,Montana,1
26,Nebraska,16
27,Nevada,8
28,New Hampshire,10
29,New Jersey,98
30,New Mexico,12
31,New York,340
32,North Carolina,148
33,Ohio,174
34,Oklahoma,77
35,Oregon,25
36,Pennsylvania,187
37,Rhode Island,11
38,South Carolina,48
39,South Dakota,7
40,Tennessee,121
41,Texas,96
42,Utah,27
43,Vermont,6
44,Virginia,76
45,Washington,18
46,West Virginia,22
47,Wisconsin,33
48,Wyoming,7
49,North Dakota,1
